AÑO,ENTIDAD,MUNICIPIO,POBLACION_TOTAL_ESTIMADA,POBLACION_MENOR_49
2023,Durango,Ocampo,8294,5971
2023,Durango,El Oro,10762,7748
2023,Durango,Otáez,5103,3674
2023,Durango,Pánuco de Coronado,13117,9444
2023,Durango,Peñón Blanco,11523,8296
2023,Durango,Poanas,26556,19120
2023,Durango,Pueblo Nuevo,53136,38257
2023,Durango,Rodeo,13293,9570
2023,Durango,San Bernardo,2940,2116
2023,Durango,San Dimas,17964,12934
2023,Durango,San Juan de Guadalupe,5442,3918
2023,Durango,San Juan del Río,12657,9113
2023,Durango,San Luis del Cordero,2179,1568
2023,Durango,San Pedro del Gallo,1692,1218
2023,Durango,Santa Clara,6972,5019
2023,Durango,Santiago Papasquiaro,50999,36719
2023,Durango,Súchil,7180,5169
2023,Durango,Tamazula,27328,19676
2023,Durango,Tepehuanes,11792,8490
2023,Durango,Tlahualilo,21996,15837
2023,Durango,Topia,9659,6954
2023,Durango,Vicente Guerrero,24331,17518
2023,Durango,Nuevo Ideal,29000,20880
2024,Durango,Canatlán,32935,23713
2024,Durango,Canelas,4532,3263
2024,Durango,Coneto de Comonfort,4751,3420
2024,Durango,Cuencamé,35309,25422
2024,Durango,Durango,722354,520094
2024,Durango,General Simón Bolívar,10528,7580
2024,Durango,Gómez Palacio,390966,281495
2024,Durango,Guadalupe Victoria,38488,27711
2024,Durango,Guanaceví,10351,7452
2024,Durango,Hidalgo,4030,2901
2024,Durango,Indé,4980,3585
2024,Durango,Lerdo,171294,123331
2024,Durango,Mapimí,34102,24553
2024,Durango,Mezquital,50957,36689
2024,Durango,Nazas,13524,9737
2024,Durango,Nombre de Dios,19991,14393
2024,Durango,Ocampo,8394,6043
2024,Durango,El Oro,10891,7841
2024,Durango,Otáez,5164,3718
2024,Durango,Pánuco de Coronado,13274,9557
2024,Durango,Peñón Blanco,11661,8395
2024,Durango,Poanas,26875,19350
2024,Durango,Pueblo Nuevo,53774,38717
2024,Durango,Rodeo,13452,9685
2024,Durango,San Bernardo,2975,2142
2024,Durango,San Dimas,18180,13089
2024,Durango,San Juan de Guadalupe,5507,3965
2024,Durango,San Juan del Río,12809,9222
2024,Durango,San Luis del Cordero,2205,1587
2024,Durango,San Pedro del Gallo,1712,1232
2024,Durango,Santa Clara,7055,5079
2024,Durango,Santiago Papasquiaro,51611,37159
2024,Durango,Súchil,7266,5231
2024,Durango,Tamazula,27656,19912
2024,Durango,Tepehuanes,11934,8592
2024,Durango,Tlahualilo,22260,16027
2024,Durango,Topia,9775,7038
2024,Durango,Vicente Guerrero,24623,17728
2024,Durango,Nuevo Ideal,29348,21130
2025,Durango,Canatlán,33330,23997
2025,Durango,Canelas,4586,3301
2025,Durango,Coneto de Comonfort,4808,3461
2025,Durango,Cuencamé,35732,25727
2025,Durango,Durango,731022,526335
2025,Durango,General Simón Bolívar,10654,7670
2025,Durango,Gómez Palacio,395658,284873
2025,Durango,Guadalupe Victoria,38950,28044
2025,Durango,Guanaceví,10475,7542
2025,Durango,Hidalgo,4079,2936
2025,Durango,Indé,5039,3628
2025,Durango,Lerdo,173349,124811
2025,Durango,Mapimí,34512,24848
2025,Durango,Mezquital,51568,37128
2025,Durango,Nazas,13686,9853
2025,Durango,Nombre de Dios,20231,14566
2025,Durango,Ocampo,8494,6115
2025,Durango,El Oro,11022,7935
2025,Durango,Otáez,5226,3762
2025,Durango,Pánuco de Coronado,13433,9671
2025,Durango,Peñón Blanco,11801,8496
2025,Durango,Poanas,27197,19581
2025,Durango,Pueblo Nuevo,54419,39181
2025,Durango,Rodeo,13614,9802
2025,Durango,San Bernardo,3011,2167
2025,Durango,San Dimas,18398,13246
2025,Durango,San Juan de Guadalupe,5573,4012
2025,Durango,San Juan del Río,12963,9333
2025,Durango,San Luis del Cordero,2232,1607
2025,Durango,San Pedro del Gallo,1733,1247
2025,Durango,Santa Clara,7140,5140
2025,Durango,Santiago Papasquiaro,52231,37606
2025,Durango,Súchil,7353,5294
2025,Durango,Tamazula,27988,20151
2025,Durango,Tepehuanes,12077,8695
2025,Durango,Tlahualilo,22527,16219
2025,Durango,Topia,9892,7122
2025,Durango,Vicente Guerrero,24918,17940
2025,Durango,Nuevo Ideal,29700,21384
